TestType,ProductCount,BufferSize,AvgInitTime,AvgCommTime
Process,1900,4,0.000206771,0.00270206
Thread,2000,4,0.000149923,0.00446152
Process,2000,4,0.00019853,0.00280222
Thread,2100,4,0.00015008,0.00466277
Process,2100,4,0.000208963,0.00296217
Thread,2200,4,0.000143389,0.00480327
Process,2200,4,0.000204334,0.00303369
Thread,2300,4,0.000150377,0.0050633
Process,2300,4,0.000206218,0.00321524
Thread,2400,4,0.000146601,0.0052438
Process,2400,4,0.000204112,0.00337251
Thread,2500,4,0.000148436,0.0053765
Process,2500,4,0.000208625,0.00349131
Thread,2600,4,0.000145638,0.00563345
Process,2600,4,0.000205403,0.00360414
Thread,2700,4,0.000145891,0.0058125
Process,2700,4,0.000206066,0.00372439
Thread,2800,4,0.000149576,0.0060598
Process,2800,4,0.000202294,0.00388414
Thread,2900,4,0.000143135,0.0062161
Process,2900,4,0.000209895,0.0040197
Thread,3000,4,0.000152868,0.00645905
Process,3000,4,0.000209612,0.00413255
Thread,3100,4,0.000146979,0.00666285
Process,3100,4,0.000205933,0.00431848
Thread,3200,4,0.000152259,0.00682865
Process,3200,4,0.00021572,0.00444755
Thread,3300,4,0.000150072,0.00712505
Process,3300,4,0.000209887,0.00459381
Thread,3400,4,0.000145688,0.00721665
Process,3400,4,0.000209411,0.00471876
Thread,3500,4,0.000146827,0.00752535
Process,3500,4,0.000203151,0.00478097
Thread,3600,4,0.000147803,0.00770645
Process,3600,4,0.000207736,0.00495457
Thread,3700,4,0.000146035,0.0078726
Process,3700,4,0.000208856,0.00511985
Thread,3800,4,0.000145054,0.00798265
Process,3800,4,0.000202554,0.0052626
Thread,3900,4,0.000148745,0.0082956
Process,3900,4,0.000206623,0.0053771
Thread,4000,4,0.000147416,0.0085412
Process,4000,4,0.000205217,0.00555105
Thread,4100,4,0.00015045,0.00872365
Process,4100,4,0.000210388,0.00571005
Thread,4200,4,0.000149952,0.0090308
Process,4200,4,0.000214919,0.00590635
Thread,4300,4,0.000146815,0.00922245
Process,4300,4,0.000210753,0.00595365
Thread,4400,4,0.00015153,0.0094618
Process,4400,4,0.000207858,0.0061683
Thread,4500,4,0.000149136,0.00969585
Process,4500,4,0.000209065,0.00624225
Thread,4600,4,0.000152018,0.0099628
Process,4600,4,0.000208136,0.00634605
Thread,4700,4,0.0001502,0.0101397
Process,4700,4,0.000207217,0.0065112
Thread,4800,4,0.000152968,0.0103182
Process,4800,4,0.000214623,0.00665295
Thread,4900,4,0.000150846,0.0106123
Process,4900,4,0.000202794,0.00684885
Thread,5000,4,0.000152773,0.0108381
Process,5000,4,0.000208371,0.00696955
Thread,100,7,0.000156153,0.000494329
Process,100,7,0.000211477,0.000274335
Thread,200,7,0.000156851,0.00063491
Process,200,7,0.000215655,0.000422624
Thread,300,7,0.000155544,0.00074179
Process,300,7,0.000215027,0.000565125
Thread,400,7,0.000157654,0.0009079
Process,400,7,0.000216838,0.00071549
